cube_id,source_npz,total_bands,start,stop,usable_bands,margin_bands,search_start,search_stop,target_bands,core_start,core_stop,finite_fraction_crop,roughness_crop,status,reason
Soil_12__cube_20260610_112653,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_12__cube_20260610_112653\resultado.npz,1280,358,658,300,45,100,900,300,411,606,0.8766666666666667,0.029849659651517868,review,recorte_corto_o_con_nan
Soil_1__cube_20260617_171738,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_1__cube_20260617_171738\resultado.npz,1280,250,550,300,45,100,900,300,304,497,1.0,0.016608532518148422,ok,
Soil_235__cube_20260613_164053,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_235__cube_20260613_164053\resultado.npz,1280,205,505,300,45,100,900,300,100,610,1.0,0.019900813698768616,ok,
Soil_28__cube_20260609_162026,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_28__cube_20260609_162026\resultado.npz,1280,348,648,300,45,100,900,300,386,609,1.0,0.014723120257258415,ok,
Soil_353__cube_20260613_164140,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_353__cube_20260613_164140\resultado.npz,1280,224,524,300,45,100,900,300,100,649,1.0,0.016192588955163956,ok,
Soil_36__cube_20260610_112539,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_36__cube_20260610_112539\resultado.npz,1280,338,638,300,45,100,900,300,367,608,1.0,0.032276272773742676,ok,
Soil_56__cube_20260610_104908,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_56__cube_20260610_104908\resultado.npz,1280,333,633,300,45,100,900,300,355,611,1.0,0.03008436970412731,ok,
Soil_592__cube_20260620_104043,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_592__cube_20260620_104043\resultado.npz,1280,178,478,300,45,100,900,300,100,556,1.0,0.022782180458307266,ok,
Soil_610__cube_20260620_104150,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_610__cube_20260620_104150\resultado.npz,1280,144,444,300,45,100,900,300,100,488,1.0,0.026305362582206726,ok,
Soil_96__cube_20260610_105107,C:\Users\ASUS\Documents\STSIVA_TESIS\Spectral_Reconstruction\Firmas_automaticas\cubos\Soil_96__cube_20260610_105107\resultado.npz,1280,349,649,300,45,100,900,300,402,596,0.9966666666666667,0.03704463317990303,ok,
